COMID,min,max,mean,median
71037856,0,761.599975585938,126.454360961914,80.199981730887
71031870,0,666.60009765625,145.758407592773,116.137830594869
71031863,0,257.60009765625,45.1829223632812,34.0730928583383
71031856,0,797.800048828125,83.5461959838867,53.6999998360051
71031855,0,570.400024414062,63.9885597229004,46.9571346079472
71031850,0,969.400146484375,159.242553710938,113.099906317622
71031849,0,689.099853515625,163.412292480469,135.735414697588
71031838,0,872.699951171875,166.356201171875,115.962712179018
71037815,0,222.099975585938,33.7200698852539,24.7953353625372
71031785,0,522.599975585938,53.1645278930664,34.8393085660547
71025583,0,74.1000366210938,9.06823253631592,4.52529953007506
71037762,0,801.89990234375,136.383193969727,104.300003907017
71031769,0,707.900146484375,131.545074462891,99.9999808470409
71025568,0,80.4000854492188,11.9401273727417,6.20638113583044
71025547,0,163.200012207031,10.787974357605,4.80002204909551
71031739,0,285.199951171875,58.167064666748,49.7481985478554
71031719,0,842.900024414062,188.95246887207,150.900039472547
71031687,0,1006.00012207031,200.246047973633,138.411733852827
71037682,0,922.199951171875,136.444488525391,87.9763618001499
71031654,0,869.699951171875,145.847717285156,100.400017866457
71031643,0,1217.59985351562,283.853637695312,206.388263408997
71031642,0,893.700073242188,206.417541503906,160.925886322162
71031640,0,59.0999755859375,16.245885848999,13.3999259138581
71025440,0,34.8999633789062,4.27288341522217,2.42722568514503
71031611,0,262.299926757812,61.740894317627,55.3541192774198
71025411,0,38.2000122070312,5.80553388595581,4.19997540988967
71031594,0,837.699951171875,150.333160400391,89.0010704888142
71037612,0,218.199951171875,36.4339981079102,22.2000065976734
71031569,0,867.5,161.667053222656,126.570189071855
71031561,0,928.000122070312,187.914245605469,145.109865302277
71031529,0,771.39990234375,186.005187988281,150.900099988706
71031528,0,268.400024414062,18.8385581970215,13.8000056398054
71031524,0,286.900024414062,55.6450309753418,43.0004048663758
71037546,0,192,26.9703750610352,15.2490027201687
71025323,0,54.8999633789062,7.32394170761108,4.60001892063498
71031506,0,938.400024414062,194.278930664062,145.69999453577
71031503,0,1518.69995117188,275.806091308594,175.913897864945
71031502,0,924.900024414062,230.471008300781,199.857950562588
71031489,0,758.900146484375,105.438034057617,42.4344365917522
71025298,0,53.699951171875,5.11568212509155,3.47782665703154
71031478,0,588.099975585938,49.5027275085449,33.1000270392112
71031431,0,187.799926757812,30.0244121551514,21.1000781959052
71031429,0,865.300048828125,204.593765258789,153.72608806953
71031414,0,87.7999267578125,17.6615829467773,14.3999317399903
